% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
1.011	1	2	102	2	1	28	2196	0	0	0
1.012	1	1	102	3	2	28	2196	0	0	0
2.011	1	2	202	2	1	28	2196	0	0	0
2.012	1	1	202	3	2	28	2196	0	0	0
3.011	1	2	302	2	1	28	2196	0	0	0
3.012	1	1	302	3	2	28	2196	0	0	0
4.011	1	2	402	2	1	28	2196	0	0	0
4.012	1	1	402	3	2	28	2196	0	0	0
5.011	1	2	502	2	1	28	2196	0	0	0
5.012	1	1	502	3	2	28	2196	0	0	0
6.011	1	2	602	2	1	28	2196	0	0	0
6.012	1	1	602	3	2	28	2196	0	0	0
7.011	1	2	702	2	1	28	2196	0	0	0
7.012	1	1	702	3	2	28	2196	0	0	0
8.011	1	2	802	2	1	28	2196	0	0	0
8.012	1	1	802	3	2	28	2196	0	0	0
9.011	1	2	902	2	1	28	2196	0	0	0
9.012	1	1	902	3	2	28	2196	0	0	0
