% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
1.006	1	2	101	7	1	28	1095	0
1.006	1	1	101	7	2	28	1095	0
1.007	1	2	101	8	1	28	1095	0
1.007	1	1	101	8	2	28	1095	0
2.005	1	2	201	6	1	28	1095	0
2.005	1	1	201	6	2	28	1095	0
2.006	1	2	201	7	1	28	1095	0
2.006	1	1	201	7	2	28	1095	0
3.005	1	2	301	6	1	28	1095	0
3.005	1	1	301	6	2	28	1095	0
3.006	1	2	301	7	1	28	1095	0
3.006	1	1	301	7	2	28	1095	0
4.005	1	2	401	6	1	28	1095	0
4.005	1	1	401	6	2	28	1095	0
4.006	1	2	401	7	1	28	1095	0
4.006	1	1	401	7	2	28	1095	0
5.005	1	2	501	6	1	28	1095	0
5.005	1	1	501	6	2	28	1095	0
5.006	1	2	501	7	1	28	1095	0
5.006	1	1	501	7	2	28	1095	0
6.005	1	2	601	6	1	28	1095	0
6.005	1	1	601	6	2	28	1095	0
6.006	1	2	601	7	1	28	1095	0
6.006	1	1	601	7	2	28	1095	0
7.005	1	2	701	6	1	28	1095	0
7.005	1	1	701	6	2	28	1095	0
7.006	1	2	701	7	1	28	1095	0
7.006	1	1	701	7	2	28	1095	0
8.005	1	2	801	6	1	28	1095	0
8.005	1	1	801	6	2	28	1095	0
8.006	1	2	801	7	1	28	1095	0
8.006	1	1	801	7	2	28	1095	0
9.005	1	2	901	6	1	28	1095	0
9.005	1	1	901	6	2	28	1095	0
9.006	1	2	901	7	1	28	1095	0
9.006	1	1	901	7	2	28	1095	0
